"Test Identifier", Timestamp,"Main Switch","System start","SW start",Interval,Node,"Top SkMacStatus Datapath","Top SkMacStatus FIF main","Top SkMacStatus FIF aux","Top SkSbStatusRx","Top SkSbStatusTx","Top SkMacCrc8Err Datapath","Top SkMacCrc8Err FIF main","Top SkMacCrc8Err FIF aux","Top SkSbCrcErrCount","Top SkSb1bitFixCnt","Top SkSb2bitFixCnt","Top SkSbEcFailCnt","Bot SkMacStatus Datapath","Bot SkMacCrc8Err Datapath","Bot SkSbStatusRx","Bot SkSbRxDiag","Bot SkSbStatusTx","Bot SkSb1bitFixCnt","Bot SkSb2bitFixCnt","Bot SkSbEcFailCnt","Bot SkSbCrcErrCnt" 
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:00],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:01],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:02],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:03],4029808606,4029808639,4029808571,5000,136,0,0,0,0,20,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:04],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:05],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:06],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:07],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:08],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:09],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:0a],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:0b],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:0c],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:0d],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:0e],4029808598,4027678719,4029808639,904,136,640,0,0,0,0,0,0,3492937718,76065,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:0f],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:10],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:11],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:12],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:13],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:14],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:15],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:16],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:17],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:18],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:19],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:1a],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:1b],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:1c],4029808598,4027678719,4029808639,904,136,116,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:1d],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:1e],4029808606,4027678719,4029808639,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:00:1f],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:01:02],4029808598,4027678719,4029808639,5000,136,1111623,0,0,0,150,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
"20260112_id","2026/01/12 17:15:10",1,0,0,485,[00:00:01:03],4029808606,4029808639,4029808571,904,136,0,0,0,0,0,0,0,3492937727,0,1049480,15,858993456,0,0,0,0
